SEND_SQL,SEND_DATABASE,RECEIVE_DATABASE,DEST,TRANS_STATUS,SEND_DATE_UTC,SEND_DATE_LOC,SEND_UTC_OFFSET,SEND_DATA_ROW,SEND_RECORD,SEND_VOLUME,SIZE_IN_MB,SEND_IDRS_NODE,REC_IDRS_NODE,SEND_PRODUCT,REC_PRODUCT,SEND_BU,REC_BU,SEND_COUNTRY,REC_COUNTRY,RECEIVE_DATE_UTC,RECEIVE_DATE_LOC,REC_UTC_OFFSET,BATCH_NAME,BATCH_DATE
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/1/2019 18:55,6/1/2019 18:55,+00:00,710452,710475,870793809,830.45,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/1/2019 18:59,6/1/2019 18:59,+00:00,ITSCPIX2,6/1/2019 18:55
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/2/2019 18:53,6/2/2019 18:53,+00:00,407688,407711,499778494,476.63,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/2/2019 18:55,6/2/2019 18:55,+00:00,ITSCPIX2,6/2/2019 18:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/3/2019 18:58,6/3/2019 18:58,+00:00,1519228,1519251,999016438,952.74,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/3/2019 19:00,6/3/2019 19:00,+00:00,ITSCPIX2,6/3/2019 18:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/4/2019 18:56,6/4/2019 18:56,+00:00,1341033,1341056,999774293,953.46,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/4/2019 19:00,6/4/2019 19:00,+00:00,ITSCPIX2,6/4/2019 18:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/5/2019 18:58,6/5/2019 18:58,+00:00,1334527,1334550,999754592,953.44,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/5/2019 19:00,6/5/2019 19:00,+00:00,ITSCPIX2,6/5/2019 18:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/6/2019 18:59,6/6/2019 18:59,+00:00,1268683,1268706,999021116,952.74,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/6/2019 19:00,6/6/2019 19:00,+00:00,ITSCPIX2,6/6/2019 18:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/7/2019 18:59,6/7/2019 18:59,+00:00,1149780,1149803,999215959,952.93,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/7/2019 19:00,6/7/2019 19:00,+00:00,ITSCPIX2,6/7/2019 18:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/8/2019 18:56,6/8/2019 18:56,+00:00,603382,603405,739528115,705.27,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/8/2019 19:01,6/8/2019 19:01,+00:00,ITSCPIX2,6/8/2019 18:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/9/2019 18:53,6/9/2019 18:53,+00:00,405035,405058,496550293,473.55,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/9/2019 18:56,6/9/2019 18:56,+00:00,ITSCPIX2,6/9/2019 18:53
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,6/10/2019 18:54,6/10/2019 18:54,+00:00,1295174,1295197,999629928,953.32,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,6/10/2019 18:57,6/10/2019 18:57,+00:00,ITSCPIX2,6/10/2019 18:54
